match_id,venue,batting_team,bowling_team,total_runs,avg_runs,max_runs,wickets,deliveries
202218,"Maharashtra Cricket Association Stadium, Pune",MI,RCB,147,1.2049180327868851,6,6,6
202218,"Maharashtra Cricket Association Stadium, Pune",RCB,MI,145,1.2719298245614035,6,3,3
202219,"Brabourne Stadium, Mumbai",DC,KKR,199,1.592,6,5,5
202219,"Brabourne Stadium, Mumbai",KKR,DC,165,1.3636363636363635,6,10,10
202220,"Wankhede Stadium, Mumbai",LSG,RR,157,1.2661290322580645,6,8,8
202220,"Wankhede Stadium, Mumbai",RR,LSG,156,1.2380952380952381,6,6,6
202221,"Dr DY Patil Sports Academy, Mumbai",GT,SRH,140,1.09375,6,7,7
202221,"Dr DY Patil Sports Academy, Mumbai",SRH,GT,162,1.3728813559322033,6,2,2
202222,"Dr DY Patil Sports Academy, Mumbai",CSK,RCB,203,1.5984251968503937,6,4,4
202222,"Dr DY Patil Sports Academy, Mumbai",RCB,CSK,184,1.426356589147287,6,9,9
202223,"Maharashtra Cricket Association Stadium, Pune",MI,PBKS,181,1.448,6,9,9
202223,"Maharashtra Cricket Association Stadium, Pune",PBKS,MI,182,1.4330708661417322,6,5,5
202224,"Dr DY Patil Sports Academy, Mumbai",GT,RR,188,1.5161290322580645,6,4,4
202224,"Dr DY Patil Sports Academy, Mumbai",RR,GT,152,1.2459016393442623,6,9,9
202225,"Brabourne Stadium, Mumbai",KKR,SRH,166,1.3495934959349594,6,8,8
202225,"Brabourne Stadium, Mumbai",SRH,KKR,164,1.4774774774774775,6,3,3
202226,"Brabourne Stadium, Mumbai",LSG,MI,191,1.5403225806451613,6,4,4
202226,"Brabourne Stadium, Mumbai",MI,LSG,166,1.328,6,9,9
202227,"Wankhede Stadium, Mumbai",DC,RCB,168,1.3548387096774193,6,7,7
202227,"Wankhede Stadium, Mumbai",RCB,DC,179,1.4206349206349207,6,5,5
202228,"Dr DY Patil Sports Academy, Mumbai",PBKS,SRH,144,1.1428571428571428,6,10,10
202228,"Dr DY Patil Sports Academy, Mumbai",SRH,PBKS,144,1.2413793103448276,6,3,3
202229,"Maharashtra Cricket Association Stadium, Pune",CSK,GT,164,1.312,6,5,5
202229,"Maharashtra Cricket Association Stadium, Pune",GT,CSK,163,1.3471074380165289,6,7,7
202230,"Brabourne Stadium, Mumbai",KKR,RR,197,1.5038167938931297,6,10,10
202230,"Brabourne Stadium, Mumbai",RR,KKR,201,1.5826771653543308,6,5,5
202231,"Dr DY Patil Sports Academy, Mumbai",LSG,RCB,148,1.1653543307086613,6,8,8
202231,"Dr DY Patil Sports Academy, Mumbai",RCB,LSG,172,1.3543307086614174,6,6,6
202232,"Brabourne Stadium, Mumbai",DC,PBKS,113,1.6376811594202898,6,1,1
202232,"Brabourne Stadium, Mumbai",PBKS,DC,113,0.9338842975206612,6,10,10
202233,"Dr DY Patil Sports Academy, Mumbai",CSK,MI,148,1.1653543307086613,6,7,7
202233,"Dr DY Patil Sports Academy, Mumbai",MI,CSK,150,1.2195121951219512,6,7,7
202234,"Wankhede Stadium, Mumbai",DC,RR,194,1.515625,6,8,8
202234,"Wankhede Stadium, Mumbai",RR,DC,217,1.75,6,2,2
202235,"Dr DY Patil Sports Academy, Mumbai",GT,KKR,146,1.1496062992125984,6,9,9
202235,"Dr DY Patil Sports Academy, Mumbai",KKR,GT,141,1.119047619047619,6,8,8
202236,"Brabourne Stadium, Mumbai",RCB,SRH,56,0.5333333333333333,4,10,10
202236,"Brabourne Stadium, Mumbai",SRH,RCB,70,1.4285714285714286,6,1,1
202237,"Wankhede Stadium, Mumbai",LSG,MI,160,1.28,6,6,6
202237,"Wankhede Stadium, Mumbai",MI,LSG,118,0.921875,6,8,8
202238,"Wankhede Stadium, Mumbai",CSK,PBKS,160,1.2698412698412698,6,6,6
202238,"Wankhede Stadium, Mumbai",PBKS,CSK,173,1.300751879699248,6,4,4
202239,"Maharashtra Cricket Association Stadium, Pune",RCB,RR,104,0.8455284552845529,6,10,10
202239,"Maharashtra Cricket Association Stadium, Pune",RR,RCB,141,1.146341463414634,6,8,8
202240,"Wankhede Stadium, Mumbai",GT,SRH,188,1.504,6,5,5
